Questionnaire Name	Account Number	Account Name	Country	CDP Region	Parent Section	Section	Row Number	Row Name	Climate Hazards	Did this hazard significantly impact your city before 2020?	Current probability of hazard	Current magnitude of hazard	Social impact of hazard overall	Most relevant assets / services affected overall	Please identify which vulnerable populations are affected	Future change in frequency	Future change in intensity	Future expected magnitude of hazard	When do you first expect to experience those changes in frequency and intensity?	Please describe the impacts experienced so far, and how you expect the hazard to impact in the future
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	7		Flood and sea level rise > Flash / surface flood	Yes	Medium Low	Medium High		Emergency services; Energy; Environment, biodiversity, forestry; Transport; Water supply & sanitation		Do not know	Do not know	Do not know		Regarding the Barcelona coastline, although there are still not many studies that analyse the specific effect of climate change on the coastal dynamics of the area, approximations have been carried out that show that there is likely to be a triple impact on the coast as a result of climate change: an increase in flooding, morphological changes to the beaches and greater exposure of port infrastructures. The results obtained form the RESCCUE project predict a 30cm increase of mean sea level rise by 2050 and 50 cm increase of mean sea level rise by 2100
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	8		Flood and sea level rise > River flood	Yes	Medium Low	Medium High		Emergency services; Energy; Environment, biodiversity, forestry; Transport; Water supply & sanitation		Do not know	Do not know	Do not know		The sanitation network would be one of the infrastructures most affected as a result of climate change in the most extreme scenario. These impacts would mainly lead to an increase risk of flooding from rivers, in urban areas or due to rising sea level. Overflows may be affected, but data on these overflows is not available to determine the specific extent to which they would be affected. It would also aggravate the impact on the drinking water network and, to a lesser extent, on the phreatic network. It could also lead to the entry of sea water, rendering the aquifer unusable (saline intrusion). Road and railway networks are particularly exposed to floods, particularly  river and urban flooding.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	9		Flood and sea level rise > Coastal flood	Yes	Medium High	Medium High		Emergency services; Water supply & sanitation		Increasing	Increasing	High	Medium-term (2026-2050)	Regarding the Barcelona coastline, although there are still not many studies that analyse the specific effect of climate change on the coastal dynamics of the area, approximations have been carried out that show that there is likely to be a triple impact on the coast as a result of climate change: an increase in flooding, morphological changes to the beaches and greater exposure of port infrastructures.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	10		Chemical change > Salt water intrusion	Yes	High	High		Other, please specify; Water supply & sanitation		Increasing	Increasing	Do not know	Short-term (by 2025)	Pending of further study
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	11		Biological hazards > Vector-borne disease	Yes	Medium High	Medium High		Public health		Increasing	Increasing	High	Medium-term (2026-2050)	Global warming, along with increased intercontinental mobility of people and products has increased the risk of growth among pest species and the diseases they transmit.  Temperature increases can also cause an increase in the multiplication rate of mosquitoes carrying diseases such as Dengue fever, Zika, chikungunya and West Nile virus. In 2018 first autoctonus case of dengue was detected in Barcelona. In 2020 soma cases of authoctonus WNV were also detected in Spain.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	12		Biological hazards > Insect infestation	Yes	Medium High	Medium High		Food & agriculture; Public health		Increasing	Increasing	High	Short-term (by 2025)	The effect of temperature or the loss of seasonality as a result of climate change have a multiplying effect on some pest species. Populations of mosquitoes, cockroaches, monk parakeets and rodents (mice and rats) are on the increase and, as a result, the risk of transmission of the diseases they carry increases, which could lead to public health issues. In order to combat these pests and infestations research into techniques for fighting them, whilst also reducing the use of pesticides, will need to be intensified.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	13		Storm and wind > Storm surge	Yes	High	Medium High		Emergency services; Other, please specify; Water supply & sanitation		Increasing	Increasing	High	Medium-term (2026-2050)	In order to study flooding caused by the sea, the height of flooding is calculated. This is determined by three factors: the rise in sea level that causes a permanent flood; the tide and pressure and wind changes that generate a potential flood; and finally the effect of waves, which cause extreme flooding. Waves are currently responsible for causing major problems along the Barcelona coastline during extreme storm conditions. Climate projections show that there will be a general rise in sea level as a result of melting polar ice caps and heat expansions, and this increase will bring changes depending on the region. In addition, extreme events are predicted to be more frequent, although their magnitude will not change much. In the case of Barcelona, which previously was associated with return periods of 50 years, periods of 35 years are forecast by 2050. Regarding the Barcelona coastline, althoughthere are still not many studies that analyse the specific effect of climate change on the coastal dynamics of the area, approximations have been carried out that show that there is likely to be a triple impact on the coast as a result of climate change: an increase in flooding, morphological changes to the beaches and greater exposure of port infrastructures.
Cities 2020	1850	Birmingham City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	1		Flood and sea level rise > Flash / surface flood	Yes	Medium High	Medium High	Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations; Loss of tax base to support public services	Energy; Transport; Water supply & sanitation	Children & youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons; Women & girls	Increasing	Increasing	Medium High	Long-term (after 2050)	Events have highlighted vulnerable zones in the city - in Selly Oak, Witton and Northfield; for large scale events (10,000 residents). More frequent localised events, continue to occur across the city through local storm events.
Cities 2020	1850	Birmingham City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	2		Storm and wind > Severe wind	Yes	Medium High	Medium High	Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations; Loss of tax base to support public services	Emergency services; Energy; Transport	Children & youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons; Women & girls	Increasing	Increasing	Medium High	Long-term (after 2050)	Disruption to services, telecommunications/ digital infrastructure; also transport infrastructure and services; and localised energy-electrical power outages.
Cities 2020	1850	Birmingham City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	3		Extreme hot temperature > Extreme hot days	Yes	Medium High	Medium High	Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations; Loss of tax base to support public services	Energy; Transport; Water supply & sanitation	Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities	Increasing	Increasing	Medium High	Short-term (by 2025)	Disruption to services, telecommunications/ digital infrastructure; also transport infrastructure and services; and localised energy-electrical power outages; loss of water supply. Increased admission to hospital for the most vulnerable; and some excess deaths - in summer 2019 there were an estimated 892 excess deaths among over-65s, based on public health England data.
Cities 2020	1850	Birmingham City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	4		Extreme cold temperature > Extreme cold days	Yes	Medium High	Medium High	Increased risk to already vulnerable populations	Emergency services; Information & communications technology; Public health; Residential; Society / community & culture	Elderly; Low-income households; Persons with chronic diseases; Persons with disabilities	Increasing	Increasing	Medium High	Immediately	The West Midlands has a lower than average income, lower than average fuel poverty energy efficiency ratings (FPEER) and higher than average fuel cost, which results in a higher than average proportion of fuel poor households for the region. 16.2 per cent of the 430,251 households across Birmingham are classed as being in fuel poverty. Data shows the ward of Bournbrook and Selly Park are the most fuel poor, at an incidence of 28.2%. This is then followed by Handsworth at 26.1%, Small Heath 23.7%, Holyhead 23.6%, Aston 23.4%, Bordesley Green 22.7%, Sparkhill 22.7%, Alum Rock 22.6% and Lozells 22.6%. Between 2013 and 2016 there were 1355 excess winter deaths.
Cities 2020	2185	Bristol City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme cold temperature > Extreme cold days	Yes			Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations	Commercial; Education; Emergency services; Energy; Environment, biodiversity, forestry; Food & agriculture; Industrial; Information & communications technology; Other, please specify: Supply chains; Public health; Residential; Society / community & culture; Tourism; Transport; Waste management; Water supply & sanitation		Decreasing				After two decades without significant snow fall, three successive cold winters and heavy snow affected the UK from 2008-2010. Initially the impacts were worse because winter planning had not been prioritised in the UK due to lack of snow. Impacts included disruption to infrastructure systems and delivery of critical services. Impacts have been reduced because systems for severe winter planning and business continuity have improved due to these extreme events. Although the overall trend is for fewer events like these, extreme cold and heavy snow is still likely to happen due to natural variability.
Cities 2020	2185	Bristol City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme hot temperature > Heat wave	Yes			Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Commercial; Education; Emergency services; Energy; Environment, biodiversity, forestry; Food & agriculture; Industrial; Information & communications technology; Law & order; Public health; Residential; Society / community & culture; Tourism; Transport; Waste management; Water supply & sanitation	Children & youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons; Women & girls	Increasing	Increasing			The 2003 heatwave affected most of Europe including the UK and Bristol. More recently the last two years have seen prolonged high temperatures and official heatwaves. Impacts included buildings overheating, decreased worker productivity, pressure on health and social care systems - spikes in calls to NHS helpline and hospital admissions, highways affected by high temperatures, open spaces under pressure and impact on vulnerable people. Heatwaves will increase in frequency and intensity so impacts will increase in the future.
Cities 2020	2185	Bristol City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	3		Water Scarcity > Drought	No			Increased resource demand	Commercial; Education; Emergency services; Energy; Environment, biodiversity, forestry; Food & agriculture; Industrial; Land use planning; Public health; Residential; Tourism; Waste management; Water supply & sanitation	Children & youth; Elderly; Low-income households; Marginalized groups; Other, please specify: All; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons; Women & girls	Increasing	Increasing		Long-term (after 2050)	Significant drought is not considered as a highly likely hazard in Bristol at this time, but with the projected impacts of climate change it is likely to become a greater issue. Summer precipitation is projected to decrease under all emissions scenarios. UK climate projections suggest that the rate of summer precipitation in Bristol could decrease by 18-45% between now and 2050 and by 26-68% by 2080. The realisation of this change would significantly increase the risk of drought in Bristol. Bristol is more vulnerable to droughts which haven't occurred during the historic record, specifically where a long-duration drought occurs or if there is a very severe drought that begins in early winter (i.e. reservoirs haven't refilled). The impacts of drought are exacerbated by extended periods of hot temperatures. More frequently occurring hot and dry periods also provides less opportunity for post-drought recovery.
Cities 2020	2185	Bristol City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	4		Flood and sea level rise > River flood	Yes			Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations; Population displacement	Commercial; Education; Emergency services; Energy; Environment, biodiversity, forestry; Food & agriculture; Industrial; Information & communications technology; Land use planning; Law & order; Public health; Residential; Society / community & culture; Tourism; Transport; Waste management; Water supply & sanitation	Children & youth; Elderly; Low-income households; Marginalized groups; Other, please specify: All inhabitants of flood risk areas.; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons; Women & girls	Increasing	Increasing			Bristol is prone to flooding and there have been several small flood events in recent years, however through effective flood risk management, major flooding has been avoided. However, climate change is likely to increase the frequency and intensity of the hazard, making the city more vulnerable.  Winter precipitation is projected to increase, meaning milder and wetter winters in Bristol. Under RCP8.5 scenario winter precipitation could increase by up to 50% by 2080. This considerable increase of winter rainfall and a change in pattern of summer rainfall events exposes Bristol to fluvial (river) and pluvial (rainfall) flood risk of both greater extent and frequency of occurrence. Given the projected impacts of climate change on precipitation and sea level rise, flooding is considered to be the greatest physical hazard facing the city.
Cities 2020	2185	Bristol City Council	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	5		Flood and sea level rise > Coastal flood	No			Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations; Population displacement	Commercial; Education; Emergency services; Energy; Environment, biodiversity, forestry; Food & agriculture; Industrial; Information & communications technology; Land use planning; Law & order; Public health; Residential; Society / community & culture; Tourism; Transport; Waste management; Water supply & sanitation	Children & youth; Elderly; Low-income households; Marginalized groups; Other, please specify: All inhabitants of flood risk areas are vulnerable.; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons; Women & girls	Increasing	Increasing	High	Long-term (after 2050)	Bristol is prone to occasional flooding from very high tides/ tidal surges up the River Avon, however the impact of this flooding is usually very minor. However, projected sea-level rise due to climate change is likely to increase the risk of tidal flooding in the city centre and coastal flooding in the Avonmouth region in the future. In an RCP8.5 scenario, the sea level around Bristol is projected to rise by over 70cm in the next 60 years. Sea level rise in the south of the UK is projected to be more severe than the rest of the UK due to land movement. Given the projected impacts of climate change on precipitation and sea level rise, flooding is considered to be the greatest physical hazard facing the city. The greater the duration of a flooding event, the greater the impact on the city. For example, where a flood event impacts transport infrastructure, access to facilities, such as healthcare, or the movement of supply chains would greatly be impeded. This has knock on effects on the population’s way of life, which would only increase in severity with duration.
Cities 2020	2430	City of Burlington	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme Precipitation > Rain storm	Yes	Medium High	Medium High	Other, please specify: Ecological, infrastructure, and property damage	Commercial; Environment, biodiversity, forestry; Residential	Low-income households; Persons living in sub-standard housing	Increasing	Increasing	Do not know	Immediately	Increased risk of rivers flooding.  Increased risk of runoff water containing pollutants and contaminants into Lake Champlain and other surrounding bodies of water. Contaminants and pollutants may contribute to algae bloom issues within surrounding bodies of water.  Structural damage from rain storms is also a concern.  During Hurricane Irene in 2011, heavy rain storms damaged the city's bike path, several key businesses, and 63 residential homes.
Cities 2020	2430	City of Burlington	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	2		Flood and sea level rise > River flood	Do not know	Medium High	Medium High	Other, please specify: Loss of crops in the Intervale which will reduce access to local food	Food & agriculture	Low-income households; Marginalized groups	Increasing	Increasing	Medium	Immediately	Designated flood hazard areas include: Portions of the shoreline of Lake Champlain, The Winooski River Intervale, banks of Englesby Brook west of Pine St. and the banks of Potash Brook in the southeast corner of the city.  Flooding into the Intervale will cause loss of crops which could have a significant economic impact on the city.  This loss of local crops will also negatively impact citizens' access to (local) food.
Cities 2020	2430	City of Burlington	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	3		Extreme cold temperature > Extreme cold days	Yes	Medium High	Medium		Food & agriculture	Low-income households; Marginalized groups; Persons living in sub-standard housing	Increasing		Do not know	Immediately	Extreme cold days may lead to risk of frost bite, school cancellations, and burst pipes causing residential or commercial damage.  Extreme cold days that come during the fall or spring may be detrimental to crops, which will in turn negatively impact the local economy and businesses that rely on selling locally-sourced food (i.e. City Market)
Cities 2020	2430	City of Burlington	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	4		Extreme hot temperature > Extreme hot days	Yes	High	Medium High	Increased demand for healthcare services; Increased risk to already vulnerable populations	Public health	Children & youth; Elderly; Other, please specify: Homeless people; Persons living in sub-standard housing	Increasing	Increasing	Medium	Immediately	Extreme hot days that are out of season (primarily in the winter) may cause increased risk of river flooding due to melting snow, which was an issue this winter.  In addition this loss in snow has negatively effected the Ski resort industry which is a large portion of Vermont's tourism sector.  In addition extreme hot days increase the amount of energy use primarily due to air conditioners used during the summer months.  Furthermore extreme hot days pose a health risk as heat stress becomes more prominent, especially in vulnerable populations such as children and senior citizens.
Cities 2020	2430	City of Burlington	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	5		Biological hazards > Vector-borne disease	Do not know	Medium Low	Medium High	Increased incidence and prevalence of disease and illness	Public health	Children & youth	Increasing	None	Do not know	Immediately	The Greater Champlain area has seen a steady increase in the amount of reported cases of lyme disease since 2005.  This poses a health risk to the greater community as more adults and children are affected each year.
