Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Renewable energy or electricity target implemented	Scale	Type	Energy / electricity types covered by target (including unit)	Base year	Total renewable energy / electricity covered by target in base year	Percentage renewable energy / electricity of total energy or electricity in base year	Target year	Total renewable energy / electricity covered by target in target year	Percentage renewable energy / electricity of total energy or electricity in target year	Percentage of target achieved	Please specify plans to meet the target(s) and in which sector this target will be implemented	Population	Population Year	City Location	Last update
2020	31177	Salt Lake City	Salt Lake City	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (in MWh)	2015	100	13	2030	100	100	20	The Community Renewable Energy Act (H.B. 411) was adopted by the Utah legislature in 2019.  This bill authorizes our investor-owned electric utility to serve participating communities with a net-100% renewable electricity mix by 2030.  More details are available here: https://www.slc.gov/sustainability/100-renewable-energy-community-goal/	200591	2018	POINT (-111.891 40.7608)	2021-05-20T02:49:34.733
2020	73700	Mariá Grande		Argentina	Latin America	public													8077	2018		2021-05-20T02:49:34.733
2020	832000	Municipalidad de Desamparados		Costa Rica	Latin America	public	Not intending to undertake												240671	2020		2021-05-20T02:49:34.733
2020	50566	City of Anchorage	Anchorage	United States of America	North America	public	Intending to undertake in the next 2 years												295365	2018	POINT (-149.9 61.2181)	2021-05-20T02:49:34.733
2020	54327	Semarang City Government		Indonesia	Southeast Asia and Oceania	public	In progress												1674358	2019		2021-05-20T02:49:34.733
2020	31051	Coventry City Council	Coventry	United Kingdom of Great Britain and Northern Ireland	Europe	public	Intending to undertake in the next 2 years												366785	2018	POINT (-1.51217 52.4066)	2021-05-20T02:49:34.733
2020	50354	Alcaldía de Tegucigalpa	Tegucigalpa	Honduras	Latin America	public													1225043	2017	POINT (-87.2044 14.1051)	2021-05-20T02:49:34.733
2020	50550	City of Buffalo	Buffalo, NY	United States of America	North America	public	Intending to undertake in the next 2 years												258612	2017	POINT (-78.8784 42.8864)	2021-05-20T02:49:34.733
2020	50380	Municipio de Bucaramanga	Bucaramanga	Colombia	Latin America	public	Yes	Local government operations			2017	410000		2030				Implementing Programs to Reduce GHG Emissions in Hydrocarbon Sector Operations in the Department of SantanderThe objective of adaptation of this measure is to reduce the risks that can be generated on the departmental secondary road network as a consequence of extreme climatic events, minimizing the occurrence of infrastructure damage, disruption of vehicular flow, which in turn derive in The shortage of inputs and products required by the population and productive sectors; This measure also allows to guarantee the efficiency in the mobilization of people and load, avoiding the generation of greater emissions of greenhouse gases.* Reduce methane gas venting in wellbore areas in areas of crude oil production in operations carried out by the hydrocarbon sector in Magdalena Medio Santandereano. * Take advantage of the gas vented or burned in teas in operations of the hydrocarbons sector in the Magdalena Medio Santandereano to generate electric energy * Implement the program of Energy Efficiency in the Barrancabermeja Refinery. Estimated 410,000 tCO2e	528269	2016	POINT (-73.1227 7.11034)	2021-05-20T02:49:34.733
2020	49389	Kyoto	Kyoto	Japan	East Asia	public	Yes												1461218	2020		2021-05-20T02:49:34.733
2020	36426	Riga City	Riga	Latvia	Europe	public	Yes	City-wide	Energy	Other, please specify: 13.3. Number of renovated municipal educational institutions (in number)	2011	93		2020	100		83.3	Development Programme of Riga for 2014-2020:Action Direction 13: Broad-scale implementation of energy efficiencyAll municipal educational institutions that need it are renovated.	627487	2020	POINT (24.1052 56.9496)	2021-05-20T02:49:34.733
2020	54119	City of Palo Alto	Palo Alto	United States of America	North America	public	Yes	City-wide	Electricity		2011	207974	22	2020	33	33	100	Renewable portfolio to be composed of 50% renewable resources and 50% hydro.	67082	2019	POINT (-122.143 37.4419)	2021-05-20T02:49:34.733
2020	54491	Municipality of Málaga	Málaga	Spain	Europe	public	Yes	Local government operations	Energy	All energy produced (in MWh)	2015	100	100	2020	100	100	100	El 100% de la energia de uso municipal es renovable	574654	2019		2021-05-20T02:49:34.733
2020	36477	Comune di Lucca	Lucca	Italy	Europe	public	In progress												90107		POINT (10.6174 43.8399)	2021-05-20T02:49:34.733
2020	826450	Durham County Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	Not intending to undertake												523500	2017		2021-05-20T02:49:34.733
2020	832009	Ayuntamiento de Xalapa	Xalapa	Mexico	Latin America	public	In progress												480841	2015	POINT (-98.7556 20.1318)	2021-05-20T02:49:34.733
2020	50392	Prefeitura de Vitória	Vitória	Brazil	Latin America	public	Do not know												327801	2010	POINT (-40.3776 -20.3338)	2021-05-20T02:49:34.733
2020	54529	City of Leicester	Leicester	United Kingdom of Great Britain and Northern Ireland	Europe	public	Yes	City-wide	Energy	All energy consumed (in MWh)				2050		100	52.5	Leicester is a signatory of the UK100, a commitment to switch communities to 100% clean energy by 2050. The council is carrying out works to install solar PV panels on a number of our buildings. We have also launched a local energy supply company, Fosse Energy, which offers 100% renewable energy to residents. In addition, the council purchases 100% renewable electricity for it's own operations. As the target is for 100% clean energy, no baseline is provided. N.B. The percentage of the target achieved is based on the national energy mix reported below, as we do not currently have access to local data.	353540	2017	POINT (-1.1333 52.6333)	2021-05-20T02:49:34.733
2020	848137	Beteitiva		Colombia	Latin America	public	Intending to undertake in the next 2 years												1474	2020		2021-05-20T02:49:34.733
2020	74453	City of Highland Park, IL		United States of America	North America	public	Intending to undertake in the next 2 years												29767	2019		2021-05-20T02:49:34.733
2020	840035	Cerrito		Argentina	Latin America	public													6874	2018		2021-05-20T02:49:34.733
2020	49327	City of Providence	Providence	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (percentage)				2050		100		By 2050, 100% of electricity is carbon-free.	179883	2019	POINT (-71.4128 41.824)	2021-05-20T02:49:34.733
2020	49172	City of St. Petersburg	St. Petersburg	United States of America	North America	public	Yes	City-wide			2016		0.02	2035				Clean Energy Roadmap pathways - early actions and investments and evolved technology and more proactive voice with state PSC and energy provider.	266000	2017		2021-05-20T02:49:34.733
2020	832274	Município de Odemira		Portugal	Europe	public													26066	2011		2021-05-20T02:49:34.733
2020	51075	City of Shenzhen	Shenzhen	China	East Asia	public	Yes	City-wide			2015	39100000		2020	45000000				13026600	2018	POINT (113.813 22.9175)	2021-05-20T02:49:34.733
2020	49389	Kyoto	Kyoto	Japan	East Asia	public	Yes	City-wide	Energy	Other, please specify: 生成されるすべてのエネルギー（単位：ＴＪ）	2010	530	0.6	2020	1690	2.3	46	・太陽光発電設備の導入への補助制度・太陽光発電設備のグループ購入・条例による，大規模建築物への再生可能エネルギー設備の導入義務　など	1461218	2020		2021-05-20T02:49:34.733
2020	54102	City of Albany	Albany	United States of America	North America	public	Yes	City-wide											97856	2010	POINT (-73.7562 42.6526)	2021-05-20T02:49:34.733
2020	54337	Greater Amman Municipality	Amman	Jordan	Middle East	public	Not intending to undertake												3800000	2018	POINT (35.9284 31.9454)	2021-05-20T02:49:34.733
2020	44299	Dangjin City	Dangjin-si	Republic of Korea	East Asia	public	Yes	City-wide	Energy	All energy produced (in MWh)	2016	295	4.9	2050	8302	100	100	01. Drive Energy Policy- Prevent air pollution from coal-fired power plants and replace eco-friendly facilities for old power generation facilities- Total number of years (30 years) of coal-fired power plants permanently closed02. Expand distributed energy supply- Mandatory installation of new and renewable energy in buildings, public asset photovoltaic installation- Lake water solar, industrial complex solar installation, mini solar power, sunlight power plant03. Energy Demand Management and Efficiency- Creating an energy-saving pilot village, creating an energy-saving store,- Energy saving consulting, LED replacement project, high efficiency facility replacement project,- Energy diagnosis and energy management system, energy saving guards and climate school operation, building energy rating system, vitalization of bicycle riding, and expansion of low carbon vehicle supply.04. Promoting New Energy Industry- Energy Storage System (ESS), Electric Vehicle and Charging Business, and Power Plant Hot Water Heat Utilization Project05. Creating an Eco-friendly Energy Town- Creating an eco-friendly energy town at a coal-fired power plant's ash treatment plant, Nanjido Energy Self-reliance Island06. Realizing Energy Welfare- Energy vouchers, projects to improve energy efficiency for low-income housing, and the expansion of urban gas supply07. Establishing Citizen Participation Governance- Operation of the Energy Citizen Planning Team08. Close all coal-fired power plants in Dangjin by 2050.09. Create RE100(Renewable Energy100%) Industrial Complex- Campaign to Use 100% Renewable Energy Only- Location: 541 Gagok-ri, Songsan-myeon, Dangjin-si, Chungcheongnam-do (use of municipal land)- Plane: 458,900 square meters (138,800 pyeong)- Business period: January 2021 to December 2023. (3 years)	166057	2020		2021-05-20T02:49:34.733
2020	43930	The Hague	The Hague	Netherlands	Europe	public	Yes	City-wide		Other, please specify: Terrajoule	2013	369	1.4	2020	493	20	1.9	Study the feasibility of geothermal energy in the different neighbourhoods (10 to 15)  and begin the transition to gas-free housing with collaboration of housing corporations, businesses, citizens, amongst others. Encourage the installation of solar panels and utilize their capacity. Study the feasibility of retrofitting Uniper's gas power plant with a biomass digester and turbines .	546847	2020	POINT (4.3007 52.0705)	2021-05-20T02:49:34.733
2020	845299	San Sebastián de Mariquita		Colombia	Latin America	public	Do not know												38566	2019		2021-05-20T02:49:34.733
2020	49327	City of Providence	Providence	United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (percentage)				2030		100		100% of municipal buildings’ electricity will be renewable by 2030.	179883	2019	POINT (-71.4128 41.824)	2021-05-20T02:49:34.733
2020	46473	City of Zaragoza	Zaragoza	Spain	Europe	public	Yes	Local government operations			2005			2030		42		Al adherirse la Pacto de Alcaldes por el Clima y la Energía en 2018. En 2020 se ha aprobado el Plan de ahorro y transición energética 2021-2030, que se propone integrar las renovables en un 42% de la energía final consumida para 2030	674997	2019	POINT (-0.88701 41.6086)	2021-05-20T02:49:34.733
2020	69968	Alcaldia de Rionegro	Rionegro	Colombia	Latin America	public	In progress												142078	2020	POINT (-75.3739 6.15316)	2021-05-20T02:49:34.733
2020	43912	City of Edmonton	Edmonton	Canada	North America	public	Yes	City-wide	Electricity				0	2035		10	0.00004	The objective in the Community Energy Transition Strategy is to generate 10% of Edmonton's electricity locally by 2035. This is a moving target from the baseline as the objective is to generate 10% of the 2035 consumption level locally, not just 10% of the 2015 baseline consumption level by 2035.	972223	2019	POINT (-113.491 53.5444)	2021-05-20T02:49:34.733
2020	54706	Prefeitura Municipal de Boa Vista	Boa Vista	Brazil	Latin America	public	Yes	Local government operations	Energy	All energy produced (in MWh)	2020	200.4		2018				O plano consiste em instalar placas solares em prédios públicos do município, abrigos de ônibus e estacionamentos dos prédios públicos.	576568	2018	POINT (-60.6779 2.83067)	2021-05-20T02:49:34.733
2020	54305	Rajkot Municipal Corporation		India	South and West Asia	public	Yes	City-wide	Energy	Total installed capacity of renewable energy (in MW)	2015	0	0	2022	33.18	22		As per climate-resilient city action plan, 22% of total GHG emission reduction is through renewable energy measures	1597081	2016		2021-05-20T02:49:34.733
2020	54113	City of Flagstaff	Flagstaff	United States of America	North America	public	Yes	Local government operations		Other, please specify: Proportion of municipal electricity use from renewables to be 100% by 2025	2016	3097.8	8.2	2025		100	7.7	Local solar installations, cogeneration unit, solar thermal installations, wind energy, hydroelectric from Hoover Dam.	75038	2019	POINT (-111.631 35.1992)	2021-05-20T02:49:34.733
2020	60258	Prefeitura de Brusque	Brusque	Brazil	Latin America	public	Intending to undertake in the next 2 years												137600	2020	POINT (-48.9207 -27.0936)	2021-05-20T02:49:34.733
2020	43914	City of Charlotte	Charlotte	United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (percentage)	2015		10	2030		100	0	SEAP outlines plans to meet the 2030 goal of all municipal buildings and fleet to be fueled by 100% zero carbon energy. charlottenc.gov/sustainability/seap	885708	2019	POINT (-80.8431 35.2271)	2021-05-20T02:49:34.733
2020	54646	Prefeitura de Duque de Caxias	Duque de Caxias	Brazil	Latin America	public													886917	2016	POINT (-43.3033 -22.8062)	2021-05-20T02:49:34.733
2020	50544	City of Aurora, IL	Aurora	United States of America	North America	public	Yes												200965	2017	POINT (41.7606 88.3201)	2021-05-20T02:49:34.733
2020	845132	Prefeitura de Goiás (Goiás Velho)		Brazil	Latin America	public	Do not know												24727	2010		2021-05-20T02:49:34.733
2020	36159	City of Lisbon	Lisbon	Portugal	Europe	public	Yes	City-wide			2018	4		2021	12			It is estimated that the current total installed capacity in photovoltaics is around 4 MW. The city has established the target of increasing the total installed PV power to 10 MW by 2021.The plans to meet the target are following:- Increase the number of photovoltaic systems in municipal buildings through public tenders;- Promote the installation of Photovoltaic systems for self-consumption in residential and tertiary buildings through third party financing;- Promote the installation of Photovoltaic systems for public electric transport vehicles though public tenders (Expected installed capacity in this topic from 2 to 4 MW);- Democratize the access to energy production from renewable sources;- SOLIS Platform: Assess the city solar potential, create public awareness, facilitate the access to solar solutions;	547733	2011	POINT (-9.13933 38.7223)	2021-05-20T02:49:34.733
2020	50220	Métropole Nice Côte d'Azur	Nice	France	Europe	public	Yes	City-wide	Energy	All energy produced (in MWh)	2016	959000	9	2050	3961000	50	9	PV solar: 1433 GWh by 2050Hydraulics:  865 GWh by 2050Wood energy: 471 GWh by 2030	540000	2016	POINT (7.26195 43.7102)	2021-05-20T02:49:34.733
2020	839667	Municipio de Guanagazapa		Guatemala	Latin America	public	Not intending to undertake												20083	2019		2021-05-20T02:49:34.733
2020	53860	City of Wilmington, NC	Wilmington	United States of America	North America	public	In progress												119045	2017		2021-05-20T02:49:34.733
2020	46263	Amdavad Municipal Corporation (Ahmedabad)	Ahmedabad	India	South and West Asia	public													6802283	2020		2021-05-20T02:49:34.733
2020	54603	Alcaldia de Pasto	Pasto	Colombia	Latin America	public	Intending to undertake in the next 2 years												455678	2015		2021-05-20T02:49:34.733
2020	54402	City of Lahti	Lahti	Finland	Europe	public	Yes	Local government operations	Energy	All energy consumed (in MWh)	2017		40	2025		80		Lahti is part of Energy Efficiency Agreement with Finnish Ministry of emplyment and economy. Target is to reduce 7.5% energy consumption in municipal premises 2017-2025. This is already 2nd agreement Lahti is part of. The largest share of energy is used for heating. And in energy production the new biomass heat plant is now in operation in 2020. Lahti Energy company's CO2 emissions will be at least -80% from year 1990 level. Also Electricity from Lahti Energy will be almost totallly fossil-free, however they have not yet applied for the certification to make their biomass and waste-based electricity product a certified green energy product. Previous Lahti City Group target: Share of certified green electricity should be 10% by the end of 2020.  Solar panels have been put up i.a.Lahti Sports Centre	119937	2020	POINT (25.65 60.9833)	2021-05-20T02:49:34.733
2020	54692	Prefeitura Municipal de Sertãozinho	Sertãozinho	Brazil	Latin America	public	Do not know												125815	2019	POINT (-47.9947 -21.1451)	2021-05-20T02:49:34.733
2020	834406	Municipality of San Pedro Tlaquepaque		Mexico	Latin America	public	Intending to undertake in the next 2 years												664193	2015		2021-05-20T02:49:34.733
2020	35274	City of Portland, ME	Portland	United States of America	North America	public	Yes	Local government operations	Energy	All energy consumed (percentage)	2016		35	2040	35	100		Rooftop solar installations, land based solar, Net Energy Billing Credit purchase, electric vehicles, use of biofuels. This will be implemented in building operations as well as fleet operations through a transition to electric vehicles.	66937	2017	POINT (-70.2553 43.6615)	2021-05-20T02:49:34.733
2020	848502	West Torrens City Council		Australia	Southeast Asia and Oceania	public	Do not know												60842	2020		2021-05-20T02:49:34.733
2020	840529	Ayuntamiento de Victoria (Tamaulipas)		Mexico	Latin America	public	Intending to undertake in the next 2 years												346029	2015		2021-05-20T02:49:34.733
2020	43938	The Executive Council, Govt of Dubai	Dubai	United Arab Emirates	Middle East	public	Yes	City-wide	Electricity	Total installed capacity of renewable electricity (in MW)	2015	27	0.1	2030	5000	25	8	Solar power form 13 MW PV plant is already operational with a 400 MW CSP plant as well. The 700 MW CSP + 250 MW PV plant is under construction to be operational by 2020, amounting in a total installed capacity of 1363 MW. Target for 2030 is to have 5000 MW installed capacity of solar energy production which is 25% of the total installed capacity of Dubai in that year. Target year total renewable energy covered by target (in MWh) is 2,683,268 MWh.	3335900	2019	POINT (55.2708 25.2048)	2021-05-20T02:49:34.733
2020	60391	Municipalidad de San Borja	San Borja	Peru	Latin America	public	In progress												113540	2019	POINT (-12.1078 -76.9989)	2021-05-20T02:49:34.733
2020	848478	Banyuwangi City		Indonesia	Southeast Asia and Oceania	public	Intending to undertake in the next 2 years												1745675	2019		2021-05-20T02:49:34.733
2020	60117	Winchester City Council	Winchester	United Kingdom of Great Britain and Northern Ireland	Europe	public													124100	2017		2021-05-20T02:49:34.733
2020	49342	City of Rochester	Rochester	United States of America	North America	public	Intending to undertake in the next 2 years												210563	2010	POINT (-77.6109 43.161)	2021-05-20T02:49:34.733
2020	848998	Villa de Merlo		Argentina	Latin America	public													24379	2018		2021-05-20T02:49:34.733
2020	826427	Município de Valongo	Valongo	Portugal	Europe	public	Yes	Local government operations	Energy	All energy produced (in MWh)	2017	7300	2.9	2020				A meta do presente PAEE é de uma redução de 30% do consumo de energia do Município até ao ano 2020, conforme a Resolução de Conselho de Ministros nº67/2012 (RCM nº 67/2012), de 9 de agosto de 2012. Encontram-se estipuladas as seguintes metas parciais:  • Ano 2016/2017 – Redução de 20%; • Ano 2018 – Redução de 8%; • Ano 2019 – Redução de 12%.  Em resumo, estas medidas podem ser as seguintes:  • Edifícios: Iluminação, sistemas de AVAC (aquecimento, ventilação e ar condicionado) e melhoria das envolventes. • Iluminação Pública: Alteração de luminárias para LED, regulação de fluxo e sistemas de controlo e comando • Frotas: Fuel switching e modos suaves. Relativamente à iluminação pública, o município de Valongo celebrou, em 2017, com a EDP- energias de Portugal,  um contrato que tem por objeto a implementação de medidas de eficiência energética no sistema de iluminação pública, através da substituição das luminárias equipadas com lâmpadas convencionais, por luminárias de maior eficiência do tipo LED. Este contrato visa a redução do consumo de eletricidade das luminárias em 60%.	97444	2019	POINT (-8.49835 41.1887)	2021-05-20T02:49:34.733
2020	62868	Eskişehir Metropolitan Municipality	Eskişehir	Turkey	Europe	public	In progress												887475	2019	POINT (30.5256 39.7667)	2021-05-20T02:49:34.733
2020	37241	City of Berkeley	Berkeley	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (in MWh)				2035		100		Mayor Jesse Arreguin announced a goal in 2018 for Berkeley to reach 100% renewable electricity citywide by 2035.	121643	2018		2021-05-20T02:49:34.733
2020	50540	City of Albuquerque		United States of America	North America	public	Yes	Local government operations	Energy	All energy consumed (percentage)	2017	47	0	2030	47	100	15	The City of Albuquerque has implemented 2 stages of its 3 part plan to achieve 100% renewable energy use by municipal operations. First, the City has installed 38 DG solar arrays on city facilities that have a combined 7MW capacity. Second, the City successfully negotiated a now-approved voluntary solar program to purchase half the output of a 50MW solar array from its local utility (25 MW capacity). Combined, these two projects will allow the City to source a minimum of 65% of its energy from renewable sources. The City is now calculating future load in order to determine options for meeting its outstanding energy needs.	560513	2019		2021-05-20T02:49:34.733
2020	60369	Alcaldía Municipal de Armenia		Colombia	Latin America	public	Do not know												301226	2018		2021-05-20T02:49:34.733
2020	74643	Dijon métropole		France	Europe	public	Yes	City-wide	Energy	All energy produced (in MWh)	2010	144000	2	2050	1658000	69	7	La trajectoire 2050 a été construite sur les mêmes bases méthodologiques que la trajectoire régionale, ce qui garantit les cohérences entre elles.Elle s’est aussi appuyée sur le PLUi-HD, en reprenant un certain nombre de données, notamment concernant l’évolution de la population à 2030, etc.Sur Dijon Métropole, ces objectifs incluent une réduction des consommations énergétiques du territoire de 59%, couplée à un objectif de 69% de l'énergie produite d'origine renouvelable.Les objectifs de production d'énergies renouvelables ont été identifiés via les outils suivants :- Électricité renouvelable : l'objectif de production attendu pour 2050 est de 716 000 MWh, dont 700 000 MWh d'origine photovoltaïque.- Chaleur renouvelable : l'objectif de production attendu pour 2050 est de 942 000 MWh, dont 422 000 MWh produits par la biomasse solide- Biogaz et biocarburants : l'objectif de production attendu pour 2050 est de 212 000 MWh d'origine biométhanique.	257933	2019		2021-05-20T02:49:34.733
2020	59167	Municipalidad de Providencia	Providencia	Chile	Latin America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2015	84232.83	4	2030	224311	10	5	"Para cumplir la meta, existen 2 ejes relevantes y atingentes a su consecusión. Primero, el eje de ""energía limpia"", el cual contempla distintas acciones, entre las cuales se encuentra la promoción de ciclo vías dentro de la comuna, promover el tránsito peatonal con diversas infraestructuras necesarias, promover la electro-movilidad, reimpulsar la flota eléctrica municipal; fomentar y subsidiar uso de energía renovables no convencionales, así como la eficiencia energética a través de fondos municipales; incorporar suministros fotovoltaicos en edificios comunales así como colectores solares en piscinas y gimnasios públicos; prospectar el uso de biomasa para la generación energética . El segundo eje, por su parte, de ""gestión y cultura energética"", atañe acciones tales como el recambio del alumbrado público por tecnología LED, promover estándares de construcción sustentable, creación de un comité (técnico) energético municipal, medición y publicación de huella de carbono municipal, otorgar información masiva, transparente y oportuna respecto al consumo municipal.Si bien se está avanzando hacia el cumplimiento de la meta, hoy en día este cambio ha sido marginal. Por esta razón se está avanzando hacia el desarrollo de mecanismos de gestión energética y procesos de actualización de la meta."	142079	2017	POINT (-70.6092 -33.4313)	2021-05-20T02:49:34.733
2020	14344	City of Park City, UT	Park City	United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2016	3331.24	19	2022	14000	100	42	Securing 100% renewable utilitiesPassed H.B. 411 Community Renewable Energy Act, signed by Gov. Gary Herbert on 4/22/2019https://le.utah.gov/~2019/bills/static/HB0411.htmlRequest for Proposals are currently being review for companies looking to build the renewable energy infrastructure dictated by H.B. 411 Renewable  Energy may include          (i) wind;          (ii) solar photovoltaic or thermal solar technology;          (iii) a geothermal resource; or          (iv) a hydroelectric plant; or          (b) use of an energy efficient and sustainable technology the commission has approved for implementation that:                     (i) increases efficient energy usage;                    (ii) is capable of being used for demand response; or                    (iii) facilitates the use and development of renewable generation resources through electrical grid management or energy storage.	8376	2016	POINT (-111.498 40.6461)	2021-05-20T02:49:34.733
2020	848138	Prefeitura de Conde (Paraíba)		Brazil	Latin America	public	Intending to undertake in the next 2 years												24610	2019		2021-05-20T02:49:34.733
2020	51374	Prefeitura de Rio Branco	Rio Branco	Brazil	Latin America	public	Intending to undertake in the next 2 years												407319	2019	POINT (-40.3776 -20.3338)	2021-05-20T02:49:34.733
