Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Climate hazard	Adaptation action	Action title	Status of action	Means of implementation	Co-benefit area	Sectors/areas adaptation action applies to	Action description and implementation progress	Finance status	Majority funding source	Currency used for reported financial information	Total cost of project	Total cost provided by the local government	Total cost provided by majority funding source	Web link	Population	Population Year	City Location	Last update
2020	74594	City of Boynton Beach	Boynton Beach	United States of America	North America	public	Flood and sea level rise > Coastal flood	Restrict development in at risk areas		Pre-implementation				The Coastal Element of the Comprehensive Plan includes the following policies:Policy 7.6.5 The City shall manage its planning, regulatory and utility services to steer future population concentrations away from the Coastal High Hazard Areas (CHHA), which is defined as the area below the elevation of the category 1 storm surge line as established by a Sea, Lake, and Overland Surges from Hurricanes (SLOSH) computerized storm surge model.Policy 7.6.6 The City shall not approve any increases in hotel/motel beds and residential densities in the Coastal High-Hazard Area that would increase evacuation times above the 16 hours level of service for out-of-county hurricane evacuation for a category 5 storm event as measured on the Saffir-Simpson scale as provided in Section 163.3148(9)(a), F. S..Policy 7.6.7 By 2017, the City shall amend Land Development Regulations to prohibit hospitals, congregate living facilities for persons with special needs, nursing homes, and the like from locating within Coastal High-Hazard Area and FEMA-defined Special Flood Hazard Area, and also encourage such existing facilities to relocate to safer locations within the City.Policy 7.6.8 Redevelopment of existing dwelling units located in the Coastal High-Hazard area is prohibited unless an engineering study supports that the redevelopment can occur in a safe manner when considering building construction, design, siting and future storm events.Policy 7.6.9 The City shall limit public expenditures in the Coastal High Hazard Area or flood-prone areas by restricting expansion/ improvement of the existing utilities except for improvements necessary to (1) correct current deficiencies; (2) serve planned redevelopment pursuant to the CRA Community Redevelopment Plan; or (3) improve environmental quality.Policy 7.6.10 The City shall require that any construction activities seaward of the coastal construction control lines established pursuant to Chapter 161.058, F.S. be consistent with the statutory provisions.Policy 7.6.12 The City shall consider, whenever feasible, purchasing properties in areas most vulnerable to destructive storm surges for recreational uses and open space.Policy 7.6.13 Rise in sea level projected by the federal government (National Oceanic and Atmospheric Administration) shall be taken into consideration in all future decisions regarding the design, location, and development of infrastructure and public facilities in the potentially affected areas.			USD US Dollar					77696	2019	POINT (-80.216 26.4986)	2021-05-20T02:38:05.560
2020	54529	City of Leicester	Leicester	United Kingdom of Great Britain and Northern Ireland	Europe	public	Flood and sea level rise > River flood	Community engagement/education	POWER Project	Operation		Disaster preparedness; Disaster Risk Reduction; Enhanced resilience		A European funded project lead by De Montfort University to provide a digital social platform to raise awareness of issues linked to water. The Leicester community platform raises issues about flood risk, what Leicester City Council is doing to address it and what citizens can do to make their homes and communities more resilient to flooding events.	Finance secured	Other, please specify: European H2020 Funding	GBP Pound Sterling	139221	0		https://leicester.power-h2020.eu/	353540	2017	POINT (-1.1333 52.6333)	2021-05-20T02:38:05.560
2020	53959	City of Fayetteville, AR	Fayetteville	United States of America	North America	public	Water Scarcity > Drought	Water use restrictions and standards	Filter-to-Waste and Solids Processing Improvements Project	Operation	Infrastructure development	Disaster preparedness; Disaster Risk Reduction; Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Improved resource quality (e.g. air, water)	Building and Infrastructure; Public Health and Safety; Water	The Beaver Watershed District's mission is to serve our customers’ needs by providing high quality drinking water that meets or exceeds all regulatory requirements and is economically priced consistent with our quality standards. In 2018, the Filter-to-Waste (FTW) and Solids Processing Improvements Project got underway. The cost estimate for the project is $4.8 million. The project is now more than halfway complete and is adding a recovery basin, piping, pumps, and other appurtenances to capture the FTW stream and recycle it to the head of the plant. In addition to this project being a sustainable solution, removing the FTW stream from the solids processing facility will significantly extend the useful life of BWD’s existing assets, delaying capital costs for the expansion of that facility. Designed by Black & Veatch with Construction Management-at-Risk services provided by Crossland Heavy Contractors, the project is currently within budget and projected to be complete ahead of schedule.	Finance secured	Public-private partnership	USD US Dollar	4800000	0	4800000	https://www.bwdh2o.org/about/master-plan/	91400	2019	POINT (-94.1719 36.0821)	2021-05-20T02:38:05.560
2020	826207	Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV)	JIMAV	Mexico	Latin America	public	Mass movement > Landslide	Landslide risk mapping	Difusión de áreas de riesgo de deslizamiento de tierra.	Implementation	Awareness raising program or campaign	Disaster preparedness; Disaster Risk Reduction	Building and Infrastructure; Transport (Mobility)	Con el desarrollo de la Segunda Fase de los Programas Municipales y el Programa Regional de Cambio Climático, se han identificado, validado y priorizado medidas de comunicación y educación ante el cambio climático, entre las que se incluye la difusión de los mapas de riesgos asociados al clima.	Finance secured	(Sub)national	MXN Mexican Peso	250000	250000	250000		371457	2015	POINT (-104.367 19.7682)	2021-05-20T02:38:05.560
2020	58595	Municipalidad de Belén	Belén	Costa Rica	Latin America	public	Flood and sea level rise > River flood	Restrict development in at risk areas	Restauración de áreas de protección a través de arborización y soluciones basadas en la naturaleza	Implementation	Awareness raising program or campaign; Development and implementation of action plan; Education; Infrastructure development	Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Resource conservation (e.g. soil, water)	Building and Infrastructure; Spatial Planning; Water	"Se trabaja en conjunto con más de 39 municipalidades en una política y plan de intervención para las áreas de protección. Además del trabajo con el Ministerio de Ambiente (MINAE) y la Agencia de Cooperación Alemana en la construcción del proyecto ""Ciudad Verde"". Por otro lado, junto al MINAE y PNUD en otro proyecto llamado ""Transición de las ciudades hacia una economía verde"". A nivel interno se han realizado arborizaciones en las áreas de protección por más de 15 años. Y actualmente toda infraestructura necesaria se hace con modelaje y tecnología de soluciones basadas en la naturaleza."	Feasibility finalized, and finance partially secured	(Sub)national	CRC Costa Rican Colon	42000000000	50000000	41950000000	https://drive.google.com/file/d/1MceqK6rJaZWsS9dplesPGr14q5ONV_wj/viewusp=sharing  https://www.cr.undp.org/content/costarica/es/home/presscenter/pressreleases/2019/minae--pnud--conservacion-internacional-y-uicn-formulan-proyecto.html	24000	2017	POINT (-84.1503 10.0035)	2021-05-20T02:38:05.560
2020	54395	Taoyuan City Government	Taoyuan	Taiwan, Greater China	East Asia	public	Extreme Precipitation > Rain storm	Real time risk monitoring	Smart Disaster Prevention Water Information System	Monitoring and reporting	Infrastructure development; Monitor activities	Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience; Improved access to data for informed decision-making	ICT (Information and Communication Technology); Public Health and Safety; Water	Due to the low-lying areas in some parts of Taoyuan City, it is easy to cause the flooding of the submerged flooded area in case of sudden heavy rainfall. Therefore, in order to grasp the water information of Taoyuan in real time, make effective disaster prevention and response decisions, and reduce the loss of public life and property, we adopt a yearly budget to establish a complete contingency response system.In total, 570 flood sensors will have been installed by 2020.	Finance secured	Local	TWD New Taiwan Dollar	27710000	27710000		http://greencity.tydep.gov.tw/views/act2/act2.html	2188017	2017	POINT (121.301 24.9931)	2021-05-20T02:38:05.560
2020	36159	City of Lisbon	Lisbon	Portugal	Europe	public	Flood and sea level rise > Flash / surface flood	Nature based solutions for water	NBS in public space	Operation	Infrastructure development	Enhanced climate change adaptation; Enhanced resilience	Spatial Planning	NBS in public space. Construction of retention basins and other retention solutions (10 interventions by 2021) with the objective of redesigning the landscape and enhancing the water cycle favoring retention and infiltration.	Finance secured		EUR Euro					547733	2011	POINT (-9.13933 38.7223)	2021-05-20T02:38:05.560
2020	60092	City of Porvoo	Porvoo	Finland	Europe	public	Extreme Precipitation > Rain storm	Flood mapping	Risks of urban runoffs in the Porvoo area	Operation	Development and implementation of action plan; Infrastructure development; Policy and regulation	Enhanced climate change adaptation; Enhanced resilience; Improved access to data for informed decision-making; Improved resource quality (e.g. air, water)	Spatial Planning; Water	Risks related to urban flooding are identified and the city's adaptation actions have been assessed. State of Finland does assessments of water and coastal flood risks and also mappes the flood risk areas. According to the assessment, there is not a big risk for coastal floods in Porvoo. These assessments are taken carefully into account in land use planning, infrastructure and in city development projects. The emergency services have recognized the risk and have 24/7 readiness to react. This applies to all climate hazards that affect emergency services and are recognized for the Porvoo area.	Finance secured	Local	EUR Euro					50380	2019		2021-05-20T02:38:05.560
2020	55324	Município de Guimarães	Guimarães	Portugal	Europe	public	Flood and sea level rise > River flood	Restrict development in at risk areas	Condicionamentos à construção na proximidade das linhas de água	Operation	Policy and regulation	Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Improved public health; Resource conservation (e.g. soil, water)	Spatial Planning; Water	Condicionamentos à construção na proximidade das linhas de água,  previsto:- na planta de ordenamento e na planta de condicionantes- no Relatório como opção estratégica- no Regulamento através de parâmetros urbanísticos de referência- no Programa de Execução como intervenção prioritária do Município- no investimento no Plano de Financiamento	Finance secured	Local	EUR Euro				https://www.cm-guimaraes.pt/cmguimaraes/uploads/document/file/6741/Regulamento_do_Plano_Diretor_Municipal.pdf	152792	2018	POINT (-8.29224 41.4443)	2021-05-20T02:38:05.560
2020	845307	Zarcero		Costa Rica	Latin America	public	Water Scarcity > Drought	Incorporating climate change into long-term planning documents	Plan de Ordenamiento Territorial	Scoping	Policy and regulation	Enhanced climate change adaptation; Enhanced resilience	Agriculture and Forestry; Building and Infrastructure; Spatial Planning; Waste; Water	Se desarrollará un Plan de Ordenamiento Territorial que permita planificar el desarrollo del municipio, ahora se está analizando la incorporación de la variable de cambio climático. La elaboración del Plan se ha dividido para su implementación en 4 etapas. La primera etapa consistía en la elaboración de un diagnóstico hidrogeológico, el mismo será entregado en noviembre del 2020. Para el año 2021  se realizará el estudio hidrológico que corresponde a la segunda etapa, y que dará los insumos para la elaboración de la tercera etapa conocida como los Índices de Fragilidad Ambiental, que se espera se realicen a en el segundo semestre del 2021 y primer semestre del 2022, para finalizar en el año 2022 con el documento del Plan de Ordenamiento Territorial del cantón de Zarcero.	Seeking funding	Local	CRC Costa Rican Colon	120000000	60000000	0		12205	2019		2021-05-20T02:38:05.560
