Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	City boundary	Type of target	Sector	Identify and explain sources that differ from the inventory	Target boundary relative to city boundary	Base year	Year of target introduction	Base year emissions (metric tonnes CO2e)	Percentage reduction target	Target year	Target year absolute emissions (metric tonnes CO2e)	Projected population in target year	Intensity unit (Emissions per)	Base year emissions per intensity unit (metric tonnes CO2e per denominator)	Estimated business as usual absolute emissions in target year (metric tonnes CO2e)	Percentage of target achieved so far	Select the initiatives that this target contributes towards	Description of the target and the modelling methodology(ies) and parameters used to define it	Does this target align with the global 1.5 - 2°c pathway set out in the Paris Agreement?	Does this target align or correspond to a requirement from a higher level of government?	Target description	Population	Population Year	City Location	Last update
2020	833284	West Midlands Combined Authority		United Kingdom of Great Britain and Northern Ireland	Europe	public	Metropolitan area	Base year emissions (absolute) target	All emissions sources included in city inventory		Larger – covers the whole city and adjoining areas	2016	2019	21000000	100	2041	0						Declaring Climate Emergency; Other, please specify: UK 2050 net zero target		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement	This came from the Tyndall Centre report (the UK target is now 100% reduction in GHGs by 2050, but the WMCA target still exceeds it): The UK Climate Change Act 2008 legislates a commitment to at least an 80% reduction in greenhouse gas emissions by 2050 from 1990 levels, with five yearly carbon budgets to set actions and review progress. However, the level of these budgets is not aligned to the Paris Agreement. The WMCA target goes beyond the ambition of the 2008 Climate Change Act, the current recommendations of the UK Government’s advisory body the Committee on Climate Change (CCC). This is primarily due to two key differences between our approach and that of the CCC to date:a) The equity principles of the Paris Agreement and wider UNFCCC process are explicitly and quantitatively applied. Our approach allocates a smaller share of the global carbon budget to the ‘developed country Parties’, such as the UK, relative to ‘developing country Parties’. b) Carbon removals via negative emissions technologies (NETs) are not included. The CCC include a significant role for NETs such as bioenergy carbon capture and storage and direct air capture in their analysis. Doing so increases the size of a carbon budget compatible with a given global temperature target. However carbon removal technologies are at a very early stage of development and whether they can be successfully deployed at sufficient scale is highly uncertain. These sub-national carbon budgets are therefore more precautionary than the current advice from the Committee on Climate Change.The UK carbon budget to be at the upper end of the range that is aligned with the Paris Agreement’s objectives. Early results from the latest Earth system models suggest that the climate may be more sensitive to greenhouse gases than previously thought implying a smaller global carbon budget is required. In addition, assuming that developing countries will, on aggregate, implement rapid emissions reduction measures in line with a 2025 peak year is far from certain. Therefore, we recommend that these sub-national budgets are taken as reflective of the minimum commitment required to deliver on the Paris Agreement.	2928592	2019		2021-05-20T02:33:48.460
2020	73725	Guaminí		Argentina	Latin America	public	City / Municipality	Baseline scenario (business as usual) target		Energía, Transporte y Residuos	Same – covers entire city and nothing else	2018	2020	32937.72	18	2030					41279.33	92.55	Global Covenant of Mayors for Climate & Energy	Durante el 2014, en Argentina se emitieron 368 millones de toneladas de dióxido de carbono equivalente (MtCO2e).  Por otro lado, las emisiones proyectadas al año 2030 bajo el escenario BAU ascienden a 592 MtCO2e. De esta forma, el aumento porcentual relativo de emisiones proyectado para el 2030, desde el año 2018, es del 45,65%. Este aumento será considerado para la preparación del escenario BAU de Guaminí donde se proyectarán las emisiones alcanzadas por el nivel BÁSICO. Como se mostró en el punto 3.1.6, este nivel abarca los sectores en los cuales los gobiernos locales poseen mayor capacidad de realizar acciones concretas, y que pueden ser gestionados más fácilmente que los incluidos en el nivel BÁSICO +. Para correlacionar el escenario Business as Usual nacional con el de Guaminí se realizó un ajuste considerando las tasas de aumento poblacional. El factor de ajuste es equivalente a la relación entre la variación poblacional en el período 2018-2030 a nivel nacional y local.El INDEC estima que durante este tiempo la población argentina aumentará un 11,04%  y un 6,12%  en el municipio. Por lo tanto el factor de ajuste resulta de 0,5548. Así, el aumento de emisiones proyectado para Guaminí será del 25,33%.Aumento de emisiones en Guaminí 2018-2030 (%)=0,5548*45,65%Aumento de emisiones en Guaminí 2018-2030 (%)=25,33%Tomando de base el inventario BÁSICO de [Municipio] del 2016, las emisiones proyectadas bajo el escenario tendencial al 2030 serán de 41.279,62 tCO2e.Emisiones en Guaminí al 2030 (tCO2e)= 32937,72 (tCO2e)*(1+0,2533)Emisiones en Guaminí al 2030 (tCO2e)=41.279,62 (tCO2e)Tomando como referencia la meta de reducción de emisiones presentada por el país y acorde a lo establecido en el Pacto de Alcaldes por el Clima y la Energía, Guaminí se fija una meta igual de ambiciosa, reducir sus emisiones de gases de efecto en al menos un 18% respecto al escenario BAU al 2030, considerando las fuentes de emisión del alcance BÁSICO.  De esta forma, en 2030, Guaminí no emitirá más de 33.849,29(tCO2e)	Do not know		Se espera que la reducción de emisiones propuesta por Guaminí y las medidas que se desarrollen para su concreción, se sumen a los esfuerzos nacionales.	11826	2010		2021-05-20T02:33:48.460
2020	50358	Gobierno Municipal de Toluca de Lerdo		Mexico	Latin America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2010	2012	4456893	1	2016	4412324.07						Individual City Commitment		No	No	La meta fue establecida antes de contar con un marco jurídico y programático de nivel supramunicipal. De lo anterior, se siguió la recomendación de la unidad implementadora del proyecto PACMUN (ICLEI) para tener consistencia con los acuerdos globales.	900855	2017		2021-05-20T02:33:48.460
2020	31111	Tokyo Metropolitan Government	Tokyo	Japan	East Asia	public	City / Municipality	Fixed level target	Other, please specify	Fully incorporate the sustainable resource management into climate change policy to contribute to CO2 reductions imported from other regions.	Larger – covers the whole city and adjoining areas		2019					12900000					Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Global Covenant of Mayors for Climate & Energy			Yes, but it exceeds its scale or requirement		13951636	2020	POINT (139.41 35.41)	2021-05-20T02:33:48.460
2020	826201	Ayuntamiento de Zapopan		Mexico	Latin America	public	City / Municipality	Baseline scenario (business as usual) target	Transport		Same – covers entire city and nothing else	2016	2020	3010166	18	2030					4297299		Global Covenant of Mayors for Climate & Energy; Other, please specify: ODS	Se estimaron los datos del sector transporte en la plataforma Moves, arroja un total de 3.010 MTonCO2eq, cálculos internos  y el dato que se usará para la presentación de datos es el de 3.008, para efectos de la elaboración de la linea base , se utilizó el pronostico de la plataforma Moves, y el compromiso de reducción se tomará de  el desagregado que viene de los compromisos a nivel nacional por sector siendo este el 18%	Yes - 1.5 °C	Yes	Se adopta las metas a nivel nacional, determinadas por las NDC para el año 2030.  El reto es reducir el 22% de emisiones de Gases del efecto Invernadero de el año 2030.  Correspondiente a nuestras emisiones, y los compromisos de reducción por subsector antes mencionados.	1332272	2015		2021-05-20T02:33:48.460
2020	44196	Hwaseong Metropolitan Government	Hwaseong-si	Republic of Korea	East Asia	public	City / Municipality	Fixed level target																				850050	2020		2021-05-20T02:33:48.460
2020	35913	City of Nairobi	Nairobi	Kenya	Africa	public	City / Municipality	No target																				4500000	2017	POINT (36.8219 -1.29206)	2021-05-20T02:33:48.460
2020	58569	City of Podgorica	Podgorica	Montenegro	Europe	public	City / Municipality	Base year emissions (absolute) target	Energy		Same – covers entire city and nothing else	2008	2011	267	20	2020	213.6						Global Covenant of Mayors for Climate & Energy		Do not know	Yes	The total electricity consumption in buildings on the territory of the City is growing. Namely, the city is developing, the number of inhabitants is increasing and new housing estates are being built.However, the new facilities are built according to high energy efficiency standards, so that the biggest problem is still the older buildings. Most of the measures to reduce CO2 emissions are related to changing the performance of old buildings and raising the level of energy efficiency.Further, we consider it of great importance to do SECAP with monitoring of emission inventories (MEI) in relation to the base year and the measures we have implemented. In this way, we would more adequately consider at the shortcomings and define new measures and goals until 2030.	185937	2011	POINT (19.2594 42.4304)	2021-05-20T02:33:48.460
2020	36262	Comune di Genova	Genova	Italy	Europe	public	City / Municipality	Base year emissions (absolute) target	Other, please specify: Energy, Transport, Building, Public Lighting, Shopping Center,Education,Awareness,Promotion		Partial – covers part of the city and adjoining areas	2005	2030	2271913	40	2030	1363147.8					17	Global Covenant of Mayors for Climate & Energy		Do not know	Yes		575577	2020	POINT (9.31841 44.348)	2021-05-20T02:33:48.460
2020	832000	Municipalidad de Desamparados		Costa Rica	Latin America	public	City / Municipality	Base year emissions (absolute) target	Other, please specify: GENERAL		Same – covers entire city and nothing else	2017	2020	227885.32	1	2021	225606.4668					75	Global Covenant of Mayors for Climate & Energy; Other, please specify: PLAN DE DESCARBONIZACIÓN COSTA RICA		Yes - 2 °C	Yes	Programa de creación de conciencia en cambio climático1.159 ton de CO2eq reducidas en tres años de ejecución (al crear conciencia en lapoblación que incida en la reducción de emisiones)Metas operativas Al menos 100 posteos de mensajes al año colocados en mediosdigitales institucionales Al menos 20 mensajes compartidos por otros entes en medios digitalesal año Al menos 24 participaciones anuales en actividades públicas Al menos 5 alianzas al año con otros entes para colocar mensajes ensitios de alto flujo de visitación Al menos 3 campañas de voluntariado al año	240671	2020		2021-05-20T02:33:48.460
2020	54625	Prefeitura de Londrina	Londrina	Brazil	Latin America	public	City / Municipality	No target																				558439	2016	POINT (-51.1505 -23.3356)	2021-05-20T02:33:48.460
2020	60906	Municipalidad de Vitacura		Chile	Latin America	public	City / Municipality	No target																				85	217		2021-05-20T02:33:48.460
2020	60339	Prefeitura de Anapolis		Brazil	Latin America	public	City / Municipality	No target																				386923	2019		2021-05-20T02:33:48.460
2020	50378	Municipalidad de San José	San José	Costa Rica	Latin America	public	City / Municipality	Base year emissions (absolute) target	Waste		Same – covers entire city and nothing else	2017	2020	201008	1	2025	198997.92					5	Global Covenant of Mayors for Climate & Energy; Other, please specify: Plan de Descarbonización de Costa Rica		Yes - 2 °C	Yes	Año base: 2017.Recolección Selectiva y Planta Municipal de acopio y tratamiento de residuos separados.  Las reducciones responderían al aumento en la recolección clasificada de residuos por parte de la Municipalidad. Ello disminuiría la cantidad de residuos que se disponen en el relleno sanitario. Para esto, debe considerarse la composición de los residuos domiciliares, la cual, según el estudio de caracterización efectuado por la UNA en el 2015, un 54,8% corresponde a residuos biodegradables, un 10,5% a papel y cartón, un 9,9% a plástico, y en proporciones menores otros tipos de residuos. Para los residuos comerciales, la fracción de biodegradables, papel y cartón representa cada una cerca de un 27%, mientras que el plástico participa en un 15,5%, metales con 2,11%, y otros residuos en otras proporciones menores. Además, según el estudio del BID del 2016, el reciclaje en San José es menor al 1%. Por lo tanto, aumentando la recolección clasificada para la posterior valorización de residuos, se disminuirían las emisiones de metano en los rellenos. Esta acción está fundamentada en el Plan de Acción Climática Municipal / PDM 2017-2020, para lo cual se busca habilitar una planta donde se acopien y traten los residuos recolectados clasificadamente por la Municipalidad. En esta planta se tratarían los residuos orgánicos mediante alguna técnica de compostaje, digestión o tratamiento biológico, y los otros residuos valorizables recibirían algún tratamiento que permita su reaprovechamiento. Para ejecutar esta acción es necesario tomar en cuenta: Cantidad proyectada de residuos a almacenar. Planificación de rutas y horarios de recolección. Equipos y máquinas necesarios para la gestión de residuos.Lugar de construcción y área constructiva de la planta. Planos constructivos, trámites de permisos asociados (CFIA, SETENA, Ministerio de Salud, etc.). Cantidad de personal necesario. Tratamiento por implementar para cada tipo de residuos. Usos potenciales de los residuos tratados. Según el portafolio de acciones de mitigación del sector residuos (PPCNC 2.0), el servicio de recolección puede representar hasta un 60-80% del costo total de la gestión de residuos sólidos municipales. Se requiere información sobre rutas para planificar las recolecciones, definir frecuencias de recolección, consumos de combustible y otros.	344851	2019	POINT (9.9326 -84.0796)	2021-05-20T02:33:48.460
2020	36285	Comune di Firenze	Firenze	Italy	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005		2519980	40	2030	1511988					95	Global Covenant of Mayors for Climate & Energy		Do not know	Yes	adopted in 2015 with SCP	378839	2019	POINT (11.2558 43.7696)	2021-05-20T02:33:48.460
2020	840943	Prefeitura de Boa Ventura		Brazil	Latin America	public	City / Municipality	Base year intensity target	Other, please specify: Aumento  e conservação de área verde da cidade. Melhoria na capacidade produtiva familiar com objetivos sustentáveis.		Smaller – covers only part of the city	2019	2019	0	0	2019	0		Other, please specify	0		70	Global Covenant of Mayors for Climate & Energy		Do not know	Do not know		5751	2010		2021-05-20T02:33:48.460
2020	31156	Municipality of Curitiba	Curitiba	Brazil	Latin America	public	City / Municipality	No target																				1893997	2016	POINT (-49.2647 -25.4311)	2021-05-20T02:33:48.460
2020	43910	City of Columbus	Columbus	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2013	2015	10781451	20	2020	8625160.8					0			No	Do not know	At present, the United States has chosen to withdraw from the Paris Agreement and will not hold up any federal targets. As part of the Green Community Plan, the City of Columbus has committed to an ambitious agenda in climate, energy, and transportation: 30 percent reduction in municipal CO2 emissions by 2020; 20 percent reduction in City CO2 emissions by 2020 and a 20 percent reduction in per capita energy consumption by 2020.	922223	2020	POINT (-82.9988 39.9612)	2021-05-20T02:33:48.460
2020	35857	City of Cincinnati	Cincinnati	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	Long Term Target	Same – covers entire city and nothing else	2006	2008	9300000	40	2028	5580000					44			Yes - 1.5 °C	No	The City of Cincinnati recognizes that climate plays an important role in the quality of life, economic well-being, and long-term sustainability of our city and region.  Cincinnati's first GHG inventory was conducted in 2006 and serves as the baseline from which our climate impact is measured. Our medium term target is to reduce GHG emissions by 40% below 2006 levels by 2028.	302605	2018	POINT (-84.512 39.1031)	2021-05-20T02:33:48.460
2020	60603	City of Prince George, BC	Prince George	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2002	2002	7503	2	2012	7352.94										City has not set new targets at this time, working on them for the near future. Finalizing new targets in 2019.	74003	2016	POINT (-122.75 53.9171)	2021-05-20T02:33:48.460
2020	54662	Prefeitura do Município de Maringá	Maringá	Brazil	Latin America	public	City / Municipality	No target																				417010	2018	POINT (-51.9383 -23.4257)	2021-05-20T02:33:48.460
2020	54113	City of Flagstaff	Flagstaff	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2016	2018	826270.21	30	2030	578389.147					0			Yes - 2 °C	No		75038	2019	POINT (-111.631 35.1992)	2021-05-20T02:33:48.460
2020	31148	City of Amsterdam	Amsterdam	Netherlands	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory			1990		3810000	95	2050	190500											872380	2020	POINT (4.89516 52.3702)	2021-05-20T02:33:48.460
2020	63543	Fredensborg Kommune	Fredensborg	Denmark	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2010	2010	243000	25	2020	182250					100	Klimakommune (Climate Municipality)		Do not know	Yes	In 2010 the city council set the goal to reduce CO2 emissions by 25% in 2020. This goal is achieved in 2018 with the latest monitoring data.	40865	2020	POINT (12.4058 55.9747)	2021-05-20T02:33:48.460
2020	54289	Wuhan Municipal People's Government	Wuhan	China	East Asia	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2015	2022	132000000		2022									Yes - 2 °C	Yes, but it exceeds its scale or requirement		11081000	2018	POINT (114.325 30.6435)	2021-05-20T02:33:48.460
2020	848565	Chicago Metropolitan Mayors Caucus		United States of America	North America	public	Metropolitan area	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005	2015	128700000	80	2050	25740000					7.4	Global Covenant of Mayors for Climate & Energy		Yes - 2 °C	No	The target is 80% reduction from 2005 levels by 2050.	8524670	2015		2021-05-20T02:33:48.460
2020	1499	Ajuntament de Barcelona	Barcelona	Spain	Europe	public	City / Municipality	Base year emissions (absolute) target	Transport		Same – covers entire city and nothing else	2017	2020	896610	71	2030	260016.9					0	Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy		Yes - 1.5 °C	No	National and regional laws have not developed yet a territorial and sectorial plan to achieve their targets,  so it is not possible to set yet if it is more ambitious or not. Global city goal is more ambitious than national and regional.	1636762	2019	POINT (2.1775 41.3823)	2021-05-20T02:33:48.460
2020	44077	Kampala City	Kampala	Uganda	Africa	public	City / Municipality	Baseline scenario (business as usual) target	Transport		Same – covers entire city and nothing else	2014	2030	1460435	22	2030					4939475.41			The target was derived using input data parameters of population growth affecting the growth in transport emissions	Yes - 2 °C	Yes		1631210	2018		2021-05-20T02:33:48.460
2020	839648	Ayuntamiento Victoria		Mexico	Latin America	public	City / Municipality	No target																				19820	2010		2021-05-20T02:33:48.460
2020	848474	Richmond Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	Local government area within a greater city / metropolitan area	No target																				199100	2020	POINT (-0.32574 51.448)	2021-05-20T02:33:48.460
2020	35878	City of Sacramento	Sacramento	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory			2005	2015	4235545	83	2050	720042.65					23						513624	2019	POINT (-121.494 38.5816)	2021-05-20T02:33:48.460
2020	826380	Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA)		Mexico	Latin America	public																									2021-05-20T02:33:48.460
2020	35878	City of Sacramento	Sacramento	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory			2005	2015	4235545	49	2035	2160127.95					39	ICLEI’s Green Climate Cities Program					513624	2019	POINT (-121.494 38.5816)	2021-05-20T02:33:48.460
2020	60423	Municipalidad de la Ciudad de Neuquén		Argentina	Latin America	public																									2021-05-20T02:33:48.460
2020	826450	Durham County Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	Province / County	Base year emissions (absolute) target	All emissions sources included in city inventory		Administrative - covers only emission sources owned and operated by city administration	2008	2019	105769	80	2030	21153.8					59	Global Covenant of Mayors for Climate & Energy		Yes - 2 °C	Do not know	The target is to reduce carbon emissions from Local Authority Operations by 80% from 2008/09 levels by 2030.This target considers only absolute emissions reduction, and cannot include offsetting actions or transferable emissions units. It is in line with the city target of carbon neutral by 2050 as eliminating the remaining 20% between 2030 and 2050 is manageable. This target ensures that the Local Authority does not rely too heavily on offsetting.	523500	2017		2021-05-20T02:33:48.460
2020	35880	Municipality of Porto Alegre	Porto Alegre	Brazil	Latin America	public	City / Municipality	No target																				1479101	2010	POINT (51 30)	2021-05-20T02:33:48.460
2020	60399	Municipalidad de Miraflores	Miraflores	Peru	Latin America	public	City / Municipality	No target																				99337	2017	POINT (-71.5366 -16.3994)	2021-05-20T02:33:48.460
2020	57509	Prefeitura de Niterói	Niterói	Brazil	Latin America	public	City / Municipality	No target																				513584	2019	POINT (-43.1184 -22.8928)	2021-05-20T02:33:48.460
2020	73700	Mariá Grande		Argentina	Latin America	public																									2021-05-20T02:33:48.460
2020	63616	Abasan Al-Kabira Municipality	Abasan Al-Kabira	State of Palestine	Middle East	public	City / Municipality	Base year emissions (absolute) target	Energy		Same – covers entire city and nothing else	2010	2020	18320	19	2020	14839.2								Yes - 1.5 °C	Yes		31000	2017	POINT (34.344 31.3231)	2021-05-20T02:33:48.460
2020	35897	Municipality of Campinas	Campinas	Brazil	Latin America	public	City / Municipality	Base year emissions (absolute) target	Transport	Não há diferença entre  as fontes do inventário.	Same – covers entire city and nothing else	2016	2020	1879651.06	10.6	2030	1680408.04764					0	Global Covenant of Mayors for Climate & Energy		Yes - 2 °C	No	A meta da cidade é menos ambiciosa (em valor absoluto) do que a NDC nacional devido ao fato de que a cidade de Campinas se configura como uma área urbana já consolidada onde o range de redução das emissões de GEE é notadamente mais restrito que o nacional.	1204073	2019	POINT (-46.9372 -22.744)	2021-05-20T02:33:48.460
2020	848131	Gámeza		Colombia	Latin America	public	City / Municipality	No target																				4468	2019		2021-05-20T02:33:48.460
2020	831674	Município de Amarante	Amarante	Portugal	Europe	public	City / Municipality	No target																				56217	2011		2021-05-20T02:33:48.460
2020	50545	City of Henderson	Henderson	United States of America	North America	public	City / Municipality	No target																				310374	2018		2021-05-20T02:33:48.460
